
{'Budget_proportion': 1,
 'attr_criterion': True,
 'bce_loss_nita': 0.5,
 'device': 'cuda:0',
 'model_name': 'Nlinear',
 'model_save_path': './save/model_dict/Nlinear_w_var.pth',
 'multi_gpu': False,
 'predictor_batch_size': 200,
 'predictor_epoch_num': 100,
 'predictor_learning_rate': 0.0001,
 'pretrained': False,
 'pretrained_model_path': 'None',
 'save_model': True,
 'var_loss_lambda': 0.5}
Start Train...
Epoch: 75 | Accuracy: 0.89 | Recall: 0.066 | Precision: 0.481| RMSE: 0.3315| AUC: 0.5287 | logloss_mean: 0.25557128736044016
Epoch: 76 | Accuracy: 0.888 | Recall: 0.087 | Precision: 0.439| RMSE: 0.3347| AUC: 0.5366 | logloss_mean: 0.25495022690845925
Epoch: 77 | Accuracy: 0.891 | Recall: 0.04 | Precision: 0.493| RMSE: 0.3309| AUC: 0.5175 | logloss_mean: 0.2546773624687808
Epoch: 78 | Accuracy: 0.891 | Recall: 0.065 | Precision: 0.509| RMSE: 0.3303| AUC: 0.5288 | logloss_mean: 0.25396468556368523
Epoch: 79 | Accuracy: 0.891 | Recall: 0.055 | Precision: 0.504| RMSE: 0.3306| AUC: 0.5241 | logloss_mean: 0.25352962533898143
Epoch: 80 | Accuracy: 0.889 | Recall: 0.067 | Precision: 0.463| RMSE: 0.3325| AUC: 0.5289 | logloss_mean: 0.2534472332562058
Epoch: 81 | Accuracy: 0.891 | Recall: 0.088 | Precision: 0.503| RMSE: 0.3305| AUC: 0.5388 | logloss_mean: 0.2530113512161866
Epoch: 82 | Accuracy: 0.891 | Recall: 0.058 | Precision: 0.523| RMSE: 0.3298| AUC: 0.526 | logloss_mean: 0.2524792853091816
Epoch: 83 | Accuracy: 0.892 | Recall: 0.067 | Precision: 0.547| RMSE: 0.3288| AUC: 0.5301 | logloss_mean: 0.25264817899436626
Epoch: 84 | Accuracy: 0.89 | Recall: 0.099 | Precision: 0.483| RMSE: 0.3318| AUC: 0.5428 | logloss_mean: 0.25183411735534955
Epoch: 85 | Accuracy: 0.891 | Recall: 0.053 | Precision: 0.508| RMSE: 0.3304| AUC: 0.5234 | logloss_mean: 0.25038938625778967
Epoch: 86 | Accuracy: 0.892 | Recall: 0.079 | Precision: 0.535| RMSE: 0.329| AUC: 0.5354 | logloss_mean: 0.2507875427712225
Epoch: 87 | Accuracy: 0.892 | Recall: 0.052 | Precision: 0.586| RMSE: 0.3282| AUC: 0.5237 | logloss_mean: 0.25051072733567176
Epoch: 88 | Accuracy: 0.891 | Recall: 0.052 | Precision: 0.515| RMSE: 0.3302| AUC: 0.5232 | logloss_mean: 0.2507809645957449
Epoch: 89 | Accuracy: 0.889 | Recall: 0.104 | Precision: 0.473| RMSE: 0.3326| AUC: 0.545 | logloss_mean: 0.2498070815017501
Epoch: 90 | Accuracy: 0.892 | Recall: 0.073 | Precision: 0.536| RMSE: 0.3291| AUC: 0.5326 | logloss_mean: 0.2497239150649425
Epoch: 91 | Accuracy: 0.891 | Recall: 0.081 | Precision: 0.521| RMSE: 0.3296| AUC: 0.5357 | logloss_mean: 0.24941554775877486
Epoch: 92 | Accuracy: 0.885 | Recall: 0.127 | Precision: 0.421| RMSE: 0.3384| AUC: 0.5526 | logloss_mean: 0.24920269796281186
Epoch: 93 | Accuracy: 0.891 | Recall: 0.091 | Precision: 0.502| RMSE: 0.3306| AUC: 0.5401 | logloss_mean: 0.24901277244597383
Epoch: 94 | Accuracy: 0.892 | Recall: 0.064 | Precision: 0.543| RMSE: 0.329| AUC: 0.5286 | logloss_mean: 0.24846684820588352
Epoch: 95 | Accuracy: 0.89 | Recall: 0.102 | Precision: 0.491| RMSE: 0.3313| AUC: 0.5446 | logloss_mean: 0.24759952839717125
Epoch: 96 | Accuracy: 0.886 | Recall: 0.144 | Precision: 0.441| RMSE: 0.3371| AUC: 0.5609 | logloss_mean: 0.24784024897058612
Epoch: 97 | Accuracy: 0.891 | Recall: 0.067 | Precision: 0.53| RMSE: 0.3295| AUC: 0.5297 | logloss_mean: 0.24748537295217654
Epoch: 98 | Accuracy: 0.886 | Recall: 0.119 | Precision: 0.428| RMSE: 0.3373| AUC: 0.5499 | logloss_mean: 0.2465670337466505
Epoch: 99 | Accuracy: 0.89 | Recall: 0.091 | Precision: 0.484| RMSE: 0.3317| AUC: 0.5397 | logloss_mean: 0.24682097381107437
Training Finish
best model performance, AUC: 0.5609 | logloss: 0.2465670337466505
